"participant","expertise","recruitment","piece","version","liking","3d_impression","items","imei1","imei2","imei3","imei4","imei5","imei6","imei7","imei8","imei9","imei10","imei11","imei12","imei13","imei14","imei15","imei16","imei17","imei18","imei19","imei20","imei21","imei22","imei23","imei24","imei25","MFRM"
196,1,2,1,1,3,3,"1-25",2,3,3,2,2,2,2,2,1,1,2,1,2,1,2,3,1,3,1,1,2,2,2,2,3,1
197,2,2,1,1,1,2,"1-25",2,2,1,2,1,2,2,1,2,2,4,3,1,1,1,1,2,1,1,1,1,2,2,2,2,1
198,1,2,1,1,4,1,"1-25",2,4,4,3,3,3,3,2,2,2,2,2,1,2,3,2,2,1,2,2,3,1,1,2,2,1
199,2,2,1,1,2,2,"1-25",1,3,3,3,3,3,2,2,2,2,2,2,2,1,2,3,2,3,2,2,2,2,1,2,3,1
200,0,1,1,1,2,2,"1-25",3,3,3,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,3,2,2,2,2,1
201,0,1,1,1,1,2,"1-25",1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,3,1
202,0,1,1,1,2,1,"1-25",1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1
203,0,1,1,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
204,1,2,1,1,1,2,"1-25",1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,3,1,1,1,1,2,2,2,1,1
205,1,2,1,1,3,1,"1-25",2,1,2,2,1,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,4,1,2,1,1
206,2,2,1,1,4,4,"1-25",2,4,4,4,4,3,2,4,3,3,2,3,1,1,3,4,3,2,3,2,4,2,3,3,3,1
208,0,2,1,1,3,1,"1-25",1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,1,1
209,2,2,1,1,3,1,"1-25",1,1,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
210,0,2,1,1,4,4,"1-25",2,4,2,3,3,3,2,2,2,1,2,2,2,3,3,3,2,2,2,2,3,3,3,3,4,1
211,1,2,1,1,2,1,"1-25",1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
212,0,2,1,1,1,1,"1-25",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,0,2,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,3,1,1
214,1,2,1,1,4,2,"1-25",3,4,4,4,3,3,3,3,3,2,2,3,1,1,3,3,3,1,2,1,3,2,1,1,3,1
215,2,2,1,1,2,2,"1-25",2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1
216,0,2,1,1,1,2,"1-25",2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1
217,0,2,1,1,2,2,"1-25",2,2,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1,2,1,2,1
218,1,2,1,1,2,1,"1-25",1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1
219,2,2,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
